GroupID,GroupName,ModelId,ModelName
3230,Blusmart,1786,Car_Tata_Xpress -T_Ziptron_2024_EV_AT
5293,BS_Devices_Simsterminated,686,BMS_Livguard_48V_V1_2020_EV_AT
3633,Eastman,1790,BMS_Eastman_51V105 Ah_JBD 16S 60A_2024_EV_AT
3822,ePrakriti,1786,Car_Tata_Xpress -T_Ziptron_2024_EV_AT
2595,la5.ic,300,Car_Tata_Winger_Default_2018_P_MT
2595,la5.ic,1481,Car_BYD E6_BYD E6_Default_2023_EV_AMT
2595,la5.ic,1267,Bike_Aprilia_SR 160_Default_2023_P_AT
2595,la5.ic,1471,Bike_TVS_Ronin_Default_2022_P_MT
5778,BLive,1973,eBike_Bounce_Infinity_Sun Mobility E1x D1_2025_EV_AT
2453,EVMGroup,1256,Bike_KTM_Duke 250_Default_2022_P_MT
2818,MBSI_PVT_LTD,662,Bike_TVS_JUPITER_Default_2020_P_AT
1843,ORIX.IC,2071,Car_Toyota_Innova Hycross_Default_2025_P_AT
3326,Trontek,1518,BMS_Trontek_51V105Ah_Trontek BMS - REV1.1 - 500K_2024_EV_AT
2541,Upgrid_Mobility,1495,BMS_Livguard_BMS_WK_16S_LFP_48V_60A_V4_2023_EV_AT
7751,Akasa,1844,BMS_Greenfuel_GF6_JBD500_2025_EV_AT
3902,EVM_secondarydevice,898,Car_Datsun_Redi Go_Default_2020_D_MT
2520,Greendrive,1193,eBike_OKaya_Faast F4_Default_2022_EV_AT
6426,Jupiter_Electric_Mobility,1969,Forklift_Jupiter electric mobility _Ganymede_MHE_2025_EV_AT
2595,la5.ic,1816,BMS_Eastman_EM LFP S 51105HJ_JBD 80Amp_2024_EV_AT
2818,MBSI_PVT_LTD,1206,Car_Tata_Xpress -T_Electra_2022_EV_AT
4010,Propel,1607,Truck_Propel_E-Truck_Default_2024_EV_AT
1822,Amplus,752,eRickshaw_Omega_Seiki rage+_Default_2021_EV_AT
9431,Maxvolt,2056,BMS_Maxvolt _51.2V100AH_JK BMS_2025_EV_AT
2818,MBSI_PVT_LTD,1142,Bike_Suzuki_Gixxer 150_Default_2021_P_MT
3664,Vgoocars,777,Car_Maruti_Swift_Zxi +_2018_P_MT
5028,CLN_Energy,1754,BMS_CLN Energy_51.2v150ah_JBD250_2024_EV_AT
2453,EVMGroup,51,Bike_Honda_CB Hornet 160R_Default_2017_P_MT
3516,LA5.IC.HARDWARE,979,Car_Toyota_Innova Crysta_GX 7 STR_2021_D_MT
3451,LA5.IC.OPS,1454,BMS_Stefen_48V_Superpower_Default_2023_EV_AT
2818,MBSI_PVT_LTD,1563,Car_Tata_Xpres-T_Ziptron_2024_EV_AT
1843,ORIX.IC,79,Car_Mahindra_Scorpio_Default_2017_D_MT
3664,Vgoocars,741,Car_Toyota_Innova_G_2016_D_MT
3767,Biliti_Electric,1621,Inverter_Biliti Electric_Growatt_TTL_2024_EV_AT
2595,la5.ic,1191,eRickshaw_Reep_Keto Plus_Default_2022_EV_AT
3664,Vgoocars,542,Car_Volkswagen_Polo_Default_2019_P_MT
4012,Ipower,1745,BMS_iPower_51.2V  100Ah_JBD 500_2024_EV_AT
2595,la5.ic,1898,eBike_Rideriver_Gen1_indie_2022_EV_AT
3015,MBSI_LA5,575,Bike_Aprilia_SR 150_Default_2017_P_AT
2818,MBSI_PVT_LTD,1097,Bike_Royal Enfield_Meteor 350 steller_Default_2020_P_MT
28480,ORIX_CORPORATION_LIMITED,546,Car_Hyundai_VENUE _Default_2019_D_MT
3963,Tata_Demo,289,Truck_Tata_TATA LPT 4018_Default_2017_D_MT
3633,Eastman,1591,BMS_Eastman_EM LFP S 51105 N_JBD CAN 250_2024_EV_AT
5099,ergonlabs,203,Vehicle_Vehicle_Vehicle_Default_2017_D_MT
3120,Inverted_energy,1902,BMS_Inverted_51.2V  45Ah_INV-BS-SOC_2025_EV_AT
3516,LA5.IC.HARDWARE,1154,Bike_Royal Enfield_Hunter _350_2022_P_MT
165,RoyalBrothers,850,Bike_Honda_Activa_6G_2020_P_MT
2520,Greendrive,1881,eBike_BGauss_RUV_350_2025_EV_AT
2595,la5.ic,1589,Bike_Royal Enfield_Super Meteor 650_Default_2024_P_MT
2818,MBSI_PVT_LTD,1548,Bike_Yamaha_MT 03_Default_2024_P_MT
2457,IndusGo_SecondaryDevice,929,Car_Maruti_Swift_Default_2021_P_MT
3868,Metafin,1526,VFD_INVT_GD200A_No Genset_2023_EV_AT
1717,IndusGo,459,Car_Toyota_Fortuner_Default_2018_D_AT
2595,la5.ic,1601,BMS_Augmentaa_OGO Energy_48V/100Ah_2024_EV_AT
2595,la5.ic,1566,BMS_Akira_JBD 500K_Default_2024_EV_AT
2595,la5.ic,1588,Bike_Royal Enfield_Twin 650 Shotgun_Default_2024_P_MT
8167,Niranjan_Billing,1521,eRickshaw_Omega_Seiki rage+_Default_2023_EV_AT
165,RoyalBrothers,1249,Bike_TVS_JUPITER_Default_2020_P_AT
5956,Vflow,1747,BMS_Vflow_51.2V100AH_Superpower _2024_EV_AT
3902,EVM_secondarydevice,1404,Car_Skoda_KUSHAQ_Default_2022_P_MT
2978,Lets_Transport,669,eRickshaw_Etrio_TOURO MAX_Default_2020_EV_AT
3809,Madikeri_Police,285,Truck_Eicher_30.25XP_Default_2018_D_MT
3868,Metafin,1559,VFD_Crompton Greaves_VSR48-024 20CEB_Field Marshal_2023_EV_AT
5126,seiger_technologies,1703,BMS_Seiger_52v 45Ah_Default_2024_EV_AT
2595,la5.ic,744,Car_Maruti_Ertiga_ZXI_2020_P_MT
5026,Maverick_Motors,114,Bike_Royal Enfield_Bullet 350_Default_2017_P_MT
